M_1e14,z,y0_arnaud_center
0.5,0.050000000000000003,4.9351556333481967e-06
0.5,0.16156816444446229,5.5320087824498851e-06
0.5,0.29999999999999999,6.4497365553147651e-06
0.5,0.5,8.1665223773394822e-06
0.5,0.70656463958054339,1.049142452715408e-05
0.5,1,1.4907870644986241e-05
0.5,1.5,2.6024082305209713e-05
0.5,2,4.2610410164393288e-05
1,0.050000000000000003,1.0726433134281935e-05
1,0.16156816444446229,1.2023704067329576e-05
1,0.29999999999999999,1.4018390614699733e-05
1,0.5,1.7749826684644041e-05
1,0.70656463958054339,2.2803001654829582e-05
1,1,3.2402149604437128e-05
1,1.5,5.6563260284528245e-05
1,2,9.2613715584067345e-05
1.448139323,0.050000000000000003,1.6239151591354498e-05
1.448139323,0.16156816444446229,1.8203157666484667e-05
1.448139323,0.29999999999999999,2.1223009632057965e-05
1.448139323,0.5,2.6872204759345445e-05
1.448139323,0.70656463958054339,3.4522440142157061e-05
1.448139323,1,4.9055035805427752e-05
1.448139323,1.5,8.5633676299009184e-05
1.448139323,2,0.00014021217921672151
2,0.050000000000000003,2.3313618210706312e-05
2,0.16156816444446229,2.6133250700201076e-05
2,0.29999999999999999,3.0468702980562325e-05
2,0.5,3.8578966940082449e-05
2,0.70656463958054339,4.9562021045738032e-05
2,1,7.042573169002113e-05
2,1.5,0.00012293984657992224
2,2,0.00020129548791395169
5,0.050000000000000003,6.5058391894445822e-05
5,0.16156816444446229,7.2926936359930957e-05
5,0.29999999999999999,8.5025505852296418e-05
5,0.5,0.00010765806966819048
5,0.70656463958054339,0.0001383074479812623
5,1,0.00019652985884338259
5,1.5,0.0003430762080828379
5,2,0.00056173634802880723
10,0.050000000000000003,0.00014140261669222539
10,0.16156816444446229,0.00015850488582707959
10,0.29999999999999999,0.00018480102043470716
10,0.5,0.00023399263856719164
10,0.70656463958054339,0.00030060869006506532
10,1,0.0004271544089152296
10,1.5,0.00074567130755223406
10,2,0.0012209270223746897
30,0.050000000000000003,0.00048398726692984218
30,0.16156816444446229,0.00054252514782441306
30,0.29999999999999999,0.00063253152894886049
30,0.5,0.0008009042764886619
30,0.70656463958054339,0.0010289171663608386
30,1,0.0014620569149499463
30,1.5,0.0025522748540187119
30,2,0.0041789787996090759
